Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
IHEVA,1.96,0.06,43.34,7.22,-0.72,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,2.09-2.31 (%6.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 1.96 (%0.1 altta) | EMA21 Direnç: 1.98 (%1.0 üstte)
IHGZT,1.2,1.17,50.61,46.51,-0.25,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,1.50-1.67 (%25.0 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 1.19 (%0.8 altta) | EMA55 Direnç: 1.24 (%3.5 üstte)
IHLAS,1.08,1.46,51.45,48.3,-0.28,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,2.01-2.04 (%86.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 1.07 (%1.3 altta) | EMA55 Direnç: 1.17 (%8.4 üstte)
IHLGM,1.61,1.43,52.18,61.99,-0.0,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,2.02-2.10 (%25.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 1.59 (%1.3 altta) | EMA55 Direnç: 1.67 (%3.8 üstte)
IHYAY,1.23,0.57,44.28,69.41,-0.48,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,1.67-1.83 (%35.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 1.22 (%0.6 altta) | EMA21 Direnç: 1.24 (%0.9 üstte)
IMASM,2.36,1.39,45.91,58.35,-0.37,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,4.42-4.92 (%87.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 2.33 (%1.4 altta) | EMA21 Direnç: 2.38 (%0.9 üstte)
INDES,11.98,24.74,62.69,47.1,0.21,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🔥 GÜÇLÜ AL (Taze Kırılım),📈 TREND DEVAMI (0 Üstü + Hacim),-,🟢 Yükseliş Trendinde,11.28-11.82 (%1.3 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 11.79 (%1.6 altta)
INFO,4.78,-4.11,30.51,4.44,-0.94,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,3.40-3.52 (%26.4 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Direnç: 4.99 (%4.3 üstte)
INGRM,376.0,-0.15,41.65,33.34,-0.81,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,362.50-380.25 (fiyat bandın içinde!),383.00-400.00 (%1.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 376.57 (%0.2 üstte)
INTEK,230.0,-0.48,37.19,42.48,-0.72,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,221.00-225.10 (%2.1 altta),370.00-376.25 (%60.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 231.10 (%0.5 üstte)
INTEM,252.25,1.54,49.6,55.05,-0.72,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 251.82 (%0.2 altta) | EMA55 Direnç: 257.58 (%2.1 üstte)
INVEO,6.94,1.41,45.83,63.87,-0.46,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,8.52-9.30 (%22.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 6.84 (%1.4 altta) | EMA21 Direnç: 6.97 (%0.5 üstte)
INVES,756.0,39.79,45.2,1.57,-0.75,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,229.50-239.90 (%68.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 733.96 (%2.9 altta) | EMA5 Direnç: 769.09 (%1.7 üstte)
ISATR,4950000.0,0.0,54.8,27.53,,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Altında!,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 4950000.00 (%0.0 altta) | EMA55 Direnç: 4950083.10 (%0.0 üstte)
ISBIR,72.85,0.95,51.35,21.49,-0.64,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,93.52-95.50 (%28.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 72.52 (%0.5 altta) | EMA100 Direnç: 73.64 (%1.1 üstte)
ISBTR,501002.5,4.62,48.65,33.56,-0.33,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 492877.75 (%1.6 altta) | EMA5 Direnç: 503428.92 (%0.5 üstte)
ISCTR,14.38,10.53,74.68,100.0,0.78,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,15.18-15.50 (%5.6 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,3.38,EMA5 Destek: 13.70 (%4.7 altta)
ISDMR,61.1,31.87,72.02,94.37,0.75,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,32.53-33.05 (%45.9 altta),62.20-64.15 (%1.8 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,3.51,EMA5 Destek: 57.90 (%5.2 altta)
ISFIN,19.65,0.99,47.13,52.24,-0.67,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,19.12-19.60 (%0.3 altta),19.98-20.80 (%1.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 19.56 (%0.5 altta) | EMA21 Direnç: 19.74 (%0.4 üstte)
ISGSY,16.18,0.17,43.6,86.94,-0.65,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 16.15 (%0.2 altta) | EMA21 Direnç: 16.65 (%2.9 üstte)
ISGYO,25.2,9.31,43.27,21.53,-0.81,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,17.74-18.89 (%25.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 25.04 (%0.6 altta) | EMA55 Direnç: 25.59 (%1.6 üstte)
ISKPL,7.09,-3.87,37.77,0.0,-0.81,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 7.38 (%4.0 üstte)
ISKUR,4125000.0,999,73.18,100.0,0.89,-,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,-,3.28,EMA5 Destek: 3776244.00 (%8.5 altta)
ISMEN,36.36,5.99,62.4,89.94,0.9,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,43.32-45.84 (%19.1 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,0.53,EMA5 Destek: 35.57 (%2.2 altta) | EMA100 Direnç: 36.43 (%0.2 üstte)
ISSEN,7.06,1.09,53.13,94.19,0.69,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,6.86-7.08 (fiyat bandın içinde!),7.70-8.14 (%9.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 7.03 (%0.5 altta) | EMA55 Direnç: 7.17 (%1.6 üstte)
ISVEA,85.8,999,63.35,6.79,0.58,-,🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,-,0.0,EMA21 Destek: 75.59 (%11.9 altta) | EMA5 Direnç: 86.31 (%0.6 üstte)
ISYAT,7.66,1.97,56.69,82.53,0.32,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,8.43-9.04 (%10.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 7.56 (%1.4 altta) | EMA55 Direnç: 7.68 (%0.2 üstte)
IZENR,7.32,2.21,37.36,64.85,-0.87,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,9.39-11.03 (%28.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 7.16 (%2.2 altta) | EMA21 Direnç: 7.85 (%7.3 üstte)
IZFAS,57.45,5.33,49.24,57.14,-0.06,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,27.75-31.16 (%45.8 altta),65.15-71.65 (%13.4 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 57.18 (%0.5 altta) | EMA100 Direnç: 59.79 (%4.1 üstte)
IZINV,51.0,0.25,38.17,48.57,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,67.75-74.00 (%32.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 50.87 (%0.2 altta) | EMA21 Direnç: 53.33 (%4.6 üstte)
IZMDC,10.15,12.82,33.35,4.33,-0.84,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 9.00 (%11.4 altta) | EMA100 Direnç: 10.34 (%1.9 üstte)
JANTS,15.97,3.03,57.08,41.14,-0.55,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,14.42-15.43 (%3.4 altta),17.80-19.90 (%11.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 15.76 (%1.3 altta) | EMA100 Direnç: 16.32 (%2.2 üstte)
KAPLM,381.75,0.78,37.17,26.63,-0.84,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,327.25-339.25 (%11.1 altta),612.00-663.00 (%60.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 378.81 (%0.8 altta) | EMA21 Direnç: 408.37 (%7.0 üstte)
KAREL,8.35,0.15,37.58,28.78,-0.88,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,8.06-8.57 (fiyat bandın içinde!),12.91-13.88 (%54.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 8.34 (%0.2 altta) | EMA21 Direnç: 8.82 (%5.6 üstte)
KARSN,15.56,44.99,88.23,100.0,0.88,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,9.03-9.27 (%40.4 altta),-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,10.95,EMA5 Destek: 13.48 (%13.4 altta)
KARTN,167.9,32.61,46.82,80.68,-0.43,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,61.85-63.80 (%62.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 165.10 (%1.7 altta) | EMA55 Direnç: 169.02 (%0.7 üstte)
KATMR,1.91,-0.31,30.53,34.01,-0.85,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,2.84-2.95 (%48.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 1.92 (%0.3 üstte)
KAYSE,4.17,3.09,57.7,53.0,-0.02,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 Yükseliş Trendinde,-,5.15-5.36 (%23.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 4.12 (%1.2 altta) | EMA100 Direnç: 4.26 (%2.2 üstte)
KBORU,18.6,0.16,36.08,28.03,-0.78,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,26.30-27.10 (%41.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 18.57 (%0.2 altta) | EMA200 Direnç: 20.63 (%10.9 üstte)
KCAER,14.3,7.91,37.5,14.35,-0.89,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,9.88-10.41 (%27.2 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 14.25 (%0.3 altta) | EMA5 Direnç: 14.51 (%1.5 üstte)
KCHOL,225.2,17.77,67.81,62.07,0.17,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,190.50-196.10 (%12.9 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 220.58 (%2.1 altta)
KENT,350.0,-1.55,43.61,0.76,-0.38,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 355.49 (%1.6 üstte)
KERVN,8.99,63.07,45.64,24.4,-0.88,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 8.64 (%3.9 altta) | EMA5 Direnç: 9.01 (%0.2 üstte)
KFEIN,8.14,0.8,44.97,58.41,-0.71,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,9.01-9.41 (%10.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 8.08 (%0.8 altta) | EMA21 Direnç: 8.24 (%1.2 üstte)
KGYO,11.26,26.13,44.46,6.22,-0.73,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,8.65-9.80 (%13.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA100 Destek: 10.82 (%3.9 altta) | EMA55 Direnç: 11.41 (%1.3 üstte)
KIMMR,13.13,-0.38,33.8,30.74,-0.94,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,12.38-13.60 (fiyat bandın içinde!),17.04-17.35 (%29.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 13.18 (%0.4 üstte)
KLGYO,4.88,2.32,55.46,22.0,0.27,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,5.00-5.54 (%2.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.85 (%0.7 altta) | EMA100 Direnç: 4.98 (%2.1 üstte)
KLKIM,26.88,1.19,50.38,30.95,-0.8,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,36.59-37.91 (%36.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 26.77 (%0.4 altta) | EMA55 Direnç: 27.70 (%3.1 üstte)
KLMSN,28.44,1.11,47.46,50.48,-0.77,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,34.64-36.08 (%21.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 28.13 (%1.1 altta) | EMA21 Direnç: 28.53 (%0.3 üstte)
KLNMA,8.99,0.28,50.06,56.62,0.04,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 8.97 (%0.3 altta) | EMA55 Direnç: 9.10 (%1.3 üstte)
KLRHO,63.35,-0.64,34.35,22.92,-0.8,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,100.80-109.10 (%59.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 63.76 (%0.6 üstte)
KLSER,23.94,1.17,44.28,40.74,-0.8,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,28.30-30.72 (%18.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 23.66 (%1.2 altta) | EMA21 Direnç: 24.23 (%1.2 üstte)
KLSYN,16.0,45.57,63.37,37.08,0.46,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,15.11-16.10 (fiyat bandın içinde!),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 15.87 (%0.8 altta)
KLYPV,61.65,2.12,51.38,8.17,-0.71,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔴 SAT,-,-,🟢 Yükseliş Trendinde,55.00-56.35 (%8.6 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 61.49 (%0.3 altta) | EMA5 Direnç: 61.76 (%0.2 üstte)
KMPUR,18.59,0.67,38.9,11.7,-0.91,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,15.10-15.80 (%15.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 18.52 (%0.4 altta) | EMA21 Direnç: 19.64 (%5.7 üstte)
KNFRT,12.55,1.68,52.57,43.75,-0.05,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 12.49 (%0.5 altta) | EMA200 Direnç: 12.79 (%1.9 üstte)
KOCMT,3.92,10.58,40.21,43.26,-0.78,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,2.45-2.49 (%36.5 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 3.54 (%9.6 altta) | EMA5 Direnç: 3.98 (%1.6 üstte)
KONKA,9.46,-0.77,24.06,13.9,-0.95,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,17.47-18.33 (%84.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 9.53 (%0.8 üstte)
KONTR,3.3,-1.1,33.57,29.34,-0.95,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,13.17-14.43 (%299.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 3.34 (%1.1 üstte)
KONYA,4100.0,7.04,65.42,71.73,0.27,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,4667.50-4865.00 (%13.8 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,0.48,EMA5 Destek: 3967.89 (%3.2 altta) | EMA200 Direnç: 4192.59 (%2.3 üstte)
KOPOL,5.31,1.08,42.34,26.03,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,6.22-6.87 (%17.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 5.25 (%1.1 altta) | EMA21 Direnç: 5.50 (%3.7 üstte)
KORDS,80.2,19.07,47.82,22.89,-0.89,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 79.03 (%1.5 altta) | EMA5 Direnç: 80.37 (%0.2 üstte)
KOTON,12.39,1.05,42.38,22.7,-0.91,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,14.71-16.69 (%18.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 12.26 (%1.0 altta) | EMA21 Direnç: 12.57 (%1.5 üstte)
KRDMA,56.4,50.15,58.07,1.06,0.3,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,27.08-28.38 (%49.7 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 54.18 (%3.9 altta) | EMA5 Direnç: 57.33 (%1.6 üstte)
KRDMB,105.0,27.86,31.26,11.43,-0.85,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,22.54-22.84 (%78.2 altta),131.70-145.50 (%25.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 82.12 (%21.8 altta) | EMA5 Direnç: 108.70 (%3.5 üstte)
KRDMD,47.86,33.79,62.77,47.27,0.06,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 45.82 (%4.3 altta)
KRGYO,3.34,19.6,69.26,51.22,0.56,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,3.30-3.45 (fiyat bandın içinde!),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 3.19 (%4.5 altta)
KRONT,22.36,10.94,40.67,34.88,-0.84,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Düşüş Trendinde,16.17-18.02 (%19.4 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 20.16 (%9.9 altta) | EMA100 Direnç: 22.61 (%1.1 üstte)
KRPLS,12.24,34.11,73.34,86.91,0.44,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,8.25-8.42 (%31.2 altta),-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,2.19,EMA5 Destek: 11.56 (%5.6 altta)
KRSTL,8.92,0.03,33.09,36.54,-0.77,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,10.99-11.43 (%23.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 8.92 (%0.0 altta) | EMA21 Direnç: 9.30 (%4.3 üstte)
KRTEK,5.23,0.8,20.23,65.73,-0.85,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,25.10-25.96 (%379.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 5.19 (%0.8 altta) | EMA21 Direnç: 6.27 (%19.8 üstte)
